"Status","Class","FriendlyName","InstanceId"
"OK","SurfaceSystemManagement","Surface SMF Core Driver","{16C280BF-D438-43C1-BBF3-688CA0D43E2F}\SURFACESYSTEMMANAGEMENTFRAMEWORK\3&150CCAF0&0&SID_DEVICE_03"
"OK","HIDClass","Surface Hid Mini Driver","{21635D77-3D7C-47B9-BE18-26576667BFDC}\TARGET_SAM&CATEGORY_HID\3&150CCAF0&0&SID_DEVICE_01"
"OK","HIDClass","Surface Hid Mini Driver","{2DEDC554-A829-42AB-90E9-E4E4B4772981}\TARGET_KIP&CATEGORY_HID\3&348FBC8&0&SHP_DEVICE_00000001_B1A3B21F"
"OK","HIDClass","Surface Hid Mini Driver","{2DEDC554-A829-42AB-90E9-E4E4B4772981}\TARGET_KIP&CATEGORY_HID\3&348FBC8&0&SHP_DEVICE_00000002_B1A3B21F"
"OK","HIDClass","Surface Hid Mini Driver","{2DEDC554-A829-42AB-90E9-E4E4B4772981}\TARGET_KIP&CATEGORY_HID\3&348FBC8&0&SHP_DEVICE_00000003_B1A3B21F"
"OK","HIDClass","Surface Hid Mini Driver","{2DEDC554-A829-42AB-90E9-E4E4B4772981}\TARGET_KIP&CATEGORY_HID\3&348FBC8&0&SHP_DEVICE_00000005_B1A3B21F"
"OK","SecurityDevices","Trusted Platform Module 2.0","{36DEAA79-C5DD-447C-95E6-B3859589291A}\TREETPM\4&2BB0E5E4&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{16A1AB50-7413-4875-893D-2E5AA0B79888}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{2A51AA84-2DFF-468C-9629-B50103B969D9}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{36DEAA79-C5DD-447C-95E6-B3859589291A}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{699AA2F1-A42E-40DF-BABE-3AAAD2BB6A47}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{72F6EF56-CF28-4D19-A027-1C3EC5E7DF4B}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{742E7313-2543-4EB8-BBEB-C5B75945063C}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{AE865C08-4A07-404D-BE51-D9A0465E23E5}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{D08CBE90-96EA-4031-9EBD-DA11FC8A8319}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{EB3C7242-1B1A-4D51-AB55-F268F018F860}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{F4637010-03C3-42CD-B932-B48ADF3A6A54}\3&F6A7A6B&0"
"OK","System","Microsoft Windows Trusted Runtime Secure Service","{4E815EE1-20F8-41EF-8CFF-3C283F02D722}\{F5AEA618-0649-49F4-81EF-F2E0F9EAFFCC}\3&F6A7A6B&0"
"OK","Net","Microsoft Wi-Fi Direct Virtual Adapter","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\4&263D47EE&0&11"
"OK","Net","Microsoft Wi-Fi Direct Virtual Adapter #2","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\4&263D47EE&0&12"
"OK","SCSIAdapter","Microsoft VHD Loopback Controller","{8E7BD593-6E6C-4C52-86A6-77175494DD8E}\MSVHDHBA\1&3030E83&0&01"
"OK","System","Surface Integration Service","{98DE32A9-5D44-419E-B67D-66072BCEF58B}\SISD_DEVICE\3&150CCAF0&0&SID_DEVICE_01"
